Rounds, Target AC, STR save, Winner 
1, 5, -5, Sky Sentinel
2, 5, -5, Sky Sentinel
3, 5, -5, Fenthras
4, 5, -5, Fenthras
5, 5, -5, Fenthras
6, 5, -5, Fenthras
7, 5, -5, Fenthras
8, 5, -5, Fenthras
1, 5, -4, Sky Sentinel
2, 5, -4, Sky Sentinel
3, 5, -4, Fenthras
4, 5, -4, Fenthras
5, 5, -4, Fenthras
6, 5, -4, Fenthras
7, 5, -4, Fenthras
8, 5, -4, Fenthras
1, 5, -3, Sky Sentinel
2, 5, -3, Sky Sentinel
3, 5, -3, Fenthras
4, 5, -3, Fenthras
5, 5, -3, Fenthras
6, 5, -3, Fenthras
7, 5, -3, Fenthras
8, 5, -3, Fenthras
1, 5, -2, Sky Sentinel
2, 5, -2, Sky Sentinel
3, 5, -2, Fenthras
4, 5, -2, Fenthras
5, 5, -2, Fenthras
6, 5, -2, Fenthras
7, 5, -2, Fenthras
8, 5, -2, Fenthras
1, 5, -1, Sky Sentinel
2, 5, -1, Sky Sentinel
3, 5, -1, Fenthras
4, 5, -1, Fenthras
5, 5, -1, Fenthras
6, 5, -1, Fenthras
7, 5, -1, Fenthras
8, 5, -1, Fenthras
1, 5, 0, Sky Sentinel
2, 5, 0, Sky Sentinel
3, 5, 0, Fenthras
4, 5, 0, Fenthras
5, 5, 0, Fenthras
6, 5, 0, Fenthras
7, 5, 0, Fenthras
8, 5, 0, Fenthras
1, 5, 1, Sky Sentinel
2, 5, 1, Sky Sentinel
3, 5, 1, Fenthras
4, 5, 1, Fenthras
5, 5, 1, Fenthras
6, 5, 1, Fenthras
7, 5, 1, Fenthras
8, 5, 1, Fenthras
1, 5, 2, Sky Sentinel
2, 5, 2, Sky Sentinel
3, 5, 2, Fenthras
4, 5, 2, Fenthras
5, 5, 2, Fenthras
6, 5, 2, Fenthras
7, 5, 2, Fenthras
8, 5, 2, Fenthras
1, 5, 3, Sky Sentinel
2, 5, 3, Sky Sentinel
3, 5, 3, Fenthras
4, 5, 3, Fenthras
5, 5, 3, Fenthras
6, 5, 3, Fenthras
7, 5, 3, Fenthras
8, 5, 3, Fenthras
1, 5, 4, Sky Sentinel
2, 5, 4, Sky Sentinel
3, 5, 4, Fenthras
4, 5, 4, Fenthras
5, 5, 4, Fenthras
6, 5, 4, Fenthras
7, 5, 4, Fenthras
8, 5, 4, Fenthras
1, 5, 5, Sky Sentinel
2, 5, 5, Sky Sentinel
3, 5, 5, Fenthras
4, 5, 5, Fenthras
5, 5, 5, Fenthras
6, 5, 5, Fenthras
7, 5, 5, Fenthras
8, 5, 5, Fenthras
1, 5, 6, Sky Sentinel
2, 5, 6, Sky Sentinel
3, 5, 6, Fenthras
4, 5, 6, Fenthras
5, 5, 6, Fenthras
6, 5, 6, Fenthras
7, 5, 6, Fenthras
8, 5, 6, Fenthras
1, 5, 7, Sky Sentinel
2, 5, 7, Sky Sentinel
3, 5, 7, Fenthras
4, 5, 7, Fenthras
5, 5, 7, Fenthras
6, 5, 7, Fenthras
7, 5, 7, Fenthras
8, 5, 7, Fenthras
1, 5, 8, Sky Sentinel
2, 5, 8, Sky Sentinel
3, 5, 8, Fenthras
4, 5, 8, Fenthras
5, 5, 8, Fenthras
6, 5, 8, Fenthras
7, 5, 8, Fenthras
8, 5, 8, Fenthras
1, 5, 9, Sky Sentinel
2, 5, 9, Sky Sentinel
3, 5, 9, Fenthras
4, 5, 9, Fenthras
5, 5, 9, Fenthras
6, 5, 9, Fenthras
7, 5, 9, Fenthras
8, 5, 9, Fenthras
1, 5, 10, Sky Sentinel
2, 5, 10, Sky Sentinel
3, 5, 10, Fenthras
4, 5, 10, Fenthras
5, 5, 10, Fenthras
6, 5, 10, Fenthras
7, 5, 10, Fenthras
8, 5, 10, Fenthras
1, 5, 11, Sky Sentinel
2, 5, 11, Sky Sentinel
3, 5, 11, Fenthras
4, 5, 11, Fenthras
5, 5, 11, Fenthras
6, 5, 11, Fenthras
7, 5, 11, Fenthras
8, 5, 11, Fenthras
1, 5, 12, Sky Sentinel
2, 5, 12, Sky Sentinel
3, 5, 12, Fenthras
4, 5, 12, Fenthras
5, 5, 12, Fenthras
6, 5, 12, Fenthras
7, 5, 12, Fenthras
8, 5, 12, Fenthras
1, 5, 13, Sky Sentinel
2, 5, 13, Sky Sentinel
3, 5, 13, Fenthras
4, 5, 13, Fenthras
5, 5, 13, Fenthras
6, 5, 13, Fenthras
7, 5, 13, Fenthras
8, 5, 13, Fenthras
1, 5, 14, Sky Sentinel
2, 5, 14, Sky Sentinel
3, 5, 14, Fenthras
4, 5, 14, Fenthras
5, 5, 14, Fenthras
6, 5, 14, Fenthras
7, 5, 14, Fenthras
8, 5, 14, Fenthras
1, 5, 15, Sky Sentinel
2, 5, 15, Sky Sentinel
3, 5, 15, Fenthras
4, 5, 15, Fenthras
5, 5, 15, Fenthras
6, 5, 15, Fenthras
7, 5, 15, Fenthras
8, 5, 15, Fenthras
1, 5, 16, Sky Sentinel
2, 5, 16, Sky Sentinel
3, 5, 16, Fenthras
4, 5, 16, Fenthras
5, 5, 16, Fenthras
6, 5, 16, Fenthras
7, 5, 16, Fenthras
8, 5, 16, Fenthras
1, 5, 17, Sky Sentinel
2, 5, 17, Sky Sentinel
3, 5, 17, Fenthras
4, 5, 17, Fenthras
5, 5, 17, Fenthras
6, 5, 17, Fenthras
7, 5, 17, Fenthras
8, 5, 17, Fenthras
1, 6, -5, Sky Sentinel
2, 6, -5, Sky Sentinel
3, 6, -5, Fenthras
4, 6, -5, Fenthras
5, 6, -5, Fenthras
6, 6, -5, Fenthras
7, 6, -5, Fenthras
8, 6, -5, Fenthras
1, 6, -4, Sky Sentinel
2, 6, -4, Sky Sentinel
3, 6, -4, Fenthras
4, 6, -4, Fenthras
5, 6, -4, Fenthras
6, 6, -4, Fenthras
7, 6, -4, Fenthras
8, 6, -4, Fenthras
1, 6, -3, Sky Sentinel
2, 6, -3, Sky Sentinel
3, 6, -3, Fenthras
4, 6, -3, Fenthras
5, 6, -3, Fenthras
6, 6, -3, Fenthras
7, 6, -3, Fenthras
8, 6, -3, Fenthras
1, 6, -2, Sky Sentinel
2, 6, -2, Sky Sentinel
3, 6, -2, Fenthras
4, 6, -2, Fenthras
5, 6, -2, Fenthras
6, 6, -2, Fenthras
7, 6, -2, Fenthras
8, 6, -2, Fenthras
1, 6, -1, Sky Sentinel
2, 6, -1, Sky Sentinel
3, 6, -1, Fenthras
4, 6, -1, Fenthras
5, 6, -1, Fenthras
6, 6, -1, Fenthras
7, 6, -1, Fenthras
8, 6, -1, Fenthras
1, 6, 0, Sky Sentinel
2, 6, 0, Sky Sentinel
3, 6, 0, Fenthras
4, 6, 0, Fenthras
5, 6, 0, Fenthras
6, 6, 0, Fenthras
7, 6, 0, Fenthras
8, 6, 0, Fenthras
1, 6, 1, Sky Sentinel
2, 6, 1, Sky Sentinel
3, 6, 1, Fenthras
4, 6, 1, Fenthras
5, 6, 1, Fenthras
6, 6, 1, Fenthras
7, 6, 1, Fenthras
8, 6, 1, Fenthras
1, 6, 2, Sky Sentinel
2, 6, 2, Sky Sentinel
3, 6, 2, Fenthras
4, 6, 2, Fenthras
5, 6, 2, Fenthras
6, 6, 2, Fenthras
7, 6, 2, Fenthras
8, 6, 2, Fenthras
1, 6, 3, Sky Sentinel
2, 6, 3, Sky Sentinel
3, 6, 3, Fenthras
4, 6, 3, Fenthras
5, 6, 3, Fenthras
6, 6, 3, Fenthras
7, 6, 3, Fenthras
8, 6, 3, Fenthras
1, 6, 4, Sky Sentinel
2, 6, 4, Sky Sentinel
3, 6, 4, Fenthras
4, 6, 4, Fenthras
5, 6, 4, Fenthras
6, 6, 4, Fenthras
7, 6, 4, Fenthras
8, 6, 4, Fenthras
1, 6, 5, Sky Sentinel
2, 6, 5, Sky Sentinel
3, 6, 5, Fenthras
4, 6, 5, Fenthras
5, 6, 5, Fenthras
6, 6, 5, Fenthras
7, 6, 5, Fenthras
8, 6, 5, Fenthras
1, 6, 6, Sky Sentinel
2, 6, 6, Sky Sentinel
3, 6, 6, Fenthras
4, 6, 6, Fenthras
5, 6, 6, Fenthras
6, 6, 6, Fenthras
7, 6, 6, Fenthras
8, 6, 6, Fenthras
1, 6, 7, Sky Sentinel
2, 6, 7, Sky Sentinel
3, 6, 7, Fenthras
4, 6, 7, Fenthras
5, 6, 7, Fenthras
6, 6, 7, Fenthras
7, 6, 7, Fenthras
8, 6, 7, Fenthras
1, 6, 8, Sky Sentinel
2, 6, 8, Sky Sentinel
3, 6, 8, Fenthras
4, 6, 8, Fenthras
5, 6, 8, Fenthras
6, 6, 8, Fenthras
7, 6, 8, Fenthras
8, 6, 8, Fenthras
1, 6, 9, Sky Sentinel
2, 6, 9, Sky Sentinel
3, 6, 9, Fenthras
4, 6, 9, Fenthras
5, 6, 9, Fenthras
6, 6, 9, Fenthras
7, 6, 9, Fenthras
8, 6, 9, Fenthras
1, 6, 10, Sky Sentinel
2, 6, 10, Sky Sentinel
3, 6, 10, Fenthras
4, 6, 10, Fenthras
5, 6, 10, Fenthras
6, 6, 10, Fenthras
7, 6, 10, Fenthras
8, 6, 10, Fenthras
1, 6, 11, Sky Sentinel
2, 6, 11, Sky Sentinel
3, 6, 11, Fenthras
4, 6, 11, Fenthras
5, 6, 11, Fenthras
6, 6, 11, Fenthras
7, 6, 11, Fenthras
8, 6, 11, Fenthras
1, 6, 12, Sky Sentinel
2, 6, 12, Sky Sentinel
3, 6, 12, Fenthras
4, 6, 12, Fenthras
5, 6, 12, Fenthras
6, 6, 12, Fenthras
7, 6, 12, Fenthras
8, 6, 12, Fenthras
1, 6, 13, Sky Sentinel
2, 6, 13, Sky Sentinel
3, 6, 13, Fenthras
4, 6, 13, Fenthras
5, 6, 13, Fenthras
6, 6, 13, Fenthras
7, 6, 13, Fenthras
8, 6, 13, Fenthras
1, 6, 14, Sky Sentinel
2, 6, 14, Sky Sentinel
3, 6, 14, Fenthras
4, 6, 14, Fenthras
5, 6, 14, Fenthras
6, 6, 14, Fenthras
7, 6, 14, Fenthras
8, 6, 14, Fenthras
1, 6, 15, Sky Sentinel
2, 6, 15, Sky Sentinel
3, 6, 15, Fenthras
4, 6, 15, Fenthras
5, 6, 15, Fenthras
6, 6, 15, Fenthras
7, 6, 15, Fenthras
8, 6, 15, Fenthras
1, 6, 16, Sky Sentinel
2, 6, 16, Sky Sentinel
3, 6, 16, Fenthras
4, 6, 16, Fenthras
5, 6, 16, Fenthras
6, 6, 16, Fenthras
7, 6, 16, Fenthras
8, 6, 16, Fenthras
1, 6, 17, Sky Sentinel
2, 6, 17, Sky Sentinel
3, 6, 17, Fenthras
4, 6, 17, Fenthras
5, 6, 17, Fenthras
6, 6, 17, Fenthras
7, 6, 17, Fenthras
8, 6, 17, Fenthras
1, 7, -5, Sky Sentinel
2, 7, -5, Sky Sentinel
3, 7, -5, Fenthras
4, 7, -5, Fenthras
5, 7, -5, Fenthras
6, 7, -5, Fenthras
7, 7, -5, Fenthras
8, 7, -5, Fenthras
1, 7, -4, Sky Sentinel
2, 7, -4, Sky Sentinel
3, 7, -4, Fenthras
4, 7, -4, Fenthras
5, 7, -4, Fenthras
6, 7, -4, Fenthras
7, 7, -4, Fenthras
8, 7, -4, Fenthras
1, 7, -3, Sky Sentinel
2, 7, -3, Sky Sentinel
3, 7, -3, Fenthras
4, 7, -3, Fenthras
5, 7, -3, Fenthras
6, 7, -3, Fenthras
7, 7, -3, Fenthras
8, 7, -3, Fenthras
1, 7, -2, Sky Sentinel
2, 7, -2, Sky Sentinel
3, 7, -2, Fenthras
4, 7, -2, Fenthras
5, 7, -2, Fenthras
6, 7, -2, Fenthras
7, 7, -2, Fenthras
8, 7, -2, Fenthras
1, 7, -1, Sky Sentinel
2, 7, -1, Sky Sentinel
3, 7, -1, Fenthras
4, 7, -1, Fenthras
5, 7, -1, Fenthras
6, 7, -1, Fenthras
7, 7, -1, Fenthras
8, 7, -1, Fenthras
1, 7, 0, Sky Sentinel
2, 7, 0, Sky Sentinel
3, 7, 0, Fenthras
4, 7, 0, Fenthras
5, 7, 0, Fenthras
6, 7, 0, Fenthras
7, 7, 0, Fenthras
8, 7, 0, Fenthras
1, 7, 1, Sky Sentinel
2, 7, 1, Sky Sentinel
3, 7, 1, Fenthras
4, 7, 1, Fenthras
5, 7, 1, Fenthras
6, 7, 1, Fenthras
7, 7, 1, Fenthras
8, 7, 1, Fenthras
1, 7, 2, Sky Sentinel
2, 7, 2, Sky Sentinel
3, 7, 2, Fenthras
4, 7, 2, Fenthras
5, 7, 2, Fenthras
6, 7, 2, Fenthras
7, 7, 2, Fenthras
8, 7, 2, Fenthras
1, 7, 3, Sky Sentinel
2, 7, 3, Sky Sentinel
3, 7, 3, Fenthras
4, 7, 3, Fenthras
5, 7, 3, Fenthras
6, 7, 3, Fenthras
7, 7, 3, Fenthras
8, 7, 3, Fenthras
1, 7, 4, Sky Sentinel
2, 7, 4, Sky Sentinel
3, 7, 4, Fenthras
4, 7, 4, Fenthras
5, 7, 4, Fenthras
6, 7, 4, Fenthras
7, 7, 4, Fenthras
8, 7, 4, Fenthras
1, 7, 5, Sky Sentinel
2, 7, 5, Sky Sentinel
3, 7, 5, Fenthras
4, 7, 5, Fenthras
5, 7, 5, Fenthras
6, 7, 5, Fenthras
7, 7, 5, Fenthras
8, 7, 5, Fenthras
1, 7, 6, Sky Sentinel
2, 7, 6, Sky Sentinel
3, 7, 6, Fenthras
4, 7, 6, Fenthras
5, 7, 6, Fenthras
6, 7, 6, Fenthras
7, 7, 6, Fenthras
8, 7, 6, Fenthras
1, 7, 7, Sky Sentinel
2, 7, 7, Sky Sentinel
3, 7, 7, Fenthras
4, 7, 7, Fenthras
5, 7, 7, Fenthras
6, 7, 7, Fenthras
7, 7, 7, Fenthras
8, 7, 7, Fenthras
1, 7, 8, Sky Sentinel
2, 7, 8, Sky Sentinel
3, 7, 8, Fenthras
4, 7, 8, Fenthras
5, 7, 8, Fenthras
6, 7, 8, Fenthras
7, 7, 8, Fenthras
8, 7, 8, Fenthras
1, 7, 9, Sky Sentinel
2, 7, 9, Sky Sentinel
3, 7, 9, Fenthras
4, 7, 9, Fenthras
5, 7, 9, Fenthras
6, 7, 9, Fenthras
7, 7, 9, Fenthras
8, 7, 9, Fenthras
1, 7, 10, Sky Sentinel
2, 7, 10, Sky Sentinel
3, 7, 10, Fenthras
4, 7, 10, Fenthras
5, 7, 10, Fenthras
6, 7, 10, Fenthras
7, 7, 10, Fenthras
8, 7, 10, Fenthras
1, 7, 11, Sky Sentinel
2, 7, 11, Sky Sentinel
3, 7, 11, Fenthras
4, 7, 11, Fenthras
5, 7, 11, Fenthras
6, 7, 11, Fenthras
7, 7, 11, Fenthras
8, 7, 11, Fenthras
1, 7, 12, Sky Sentinel
2, 7, 12, Sky Sentinel
3, 7, 12, Fenthras
4, 7, 12, Fenthras
5, 7, 12, Fenthras
6, 7, 12, Fenthras
7, 7, 12, Fenthras
8, 7, 12, Fenthras
1, 7, 13, Sky Sentinel
2, 7, 13, Sky Sentinel
3, 7, 13, Fenthras
4, 7, 13, Fenthras
5, 7, 13, Fenthras
6, 7, 13, Fenthras
7, 7, 13, Fenthras
8, 7, 13, Fenthras
1, 7, 14, Sky Sentinel
2, 7, 14, Sky Sentinel
3, 7, 14, Fenthras
4, 7, 14, Fenthras
5, 7, 14, Fenthras
6, 7, 14, Fenthras
7, 7, 14, Fenthras
8, 7, 14, Fenthras
1, 7, 15, Sky Sentinel
2, 7, 15, Sky Sentinel
3, 7, 15, Fenthras
4, 7, 15, Fenthras
5, 7, 15, Fenthras
6, 7, 15, Fenthras
7, 7, 15, Fenthras
8, 7, 15, Fenthras
1, 7, 16, Sky Sentinel
2, 7, 16, Sky Sentinel
3, 7, 16, Fenthras
4, 7, 16, Fenthras
5, 7, 16, Fenthras
6, 7, 16, Fenthras
7, 7, 16, Fenthras
8, 7, 16, Fenthras
1, 7, 17, Sky Sentinel
2, 7, 17, Sky Sentinel
3, 7, 17, Fenthras
4, 7, 17, Fenthras
5, 7, 17, Fenthras
6, 7, 17, Fenthras
7, 7, 17, Fenthras
8, 7, 17, Fenthras
1, 8, -5, Sky Sentinel
2, 8, -5, Sky Sentinel
3, 8, -5, Fenthras
4, 8, -5, Fenthras
5, 8, -5, Fenthras
6, 8, -5, Fenthras
7, 8, -5, Fenthras
8, 8, -5, Fenthras
1, 8, -4, Sky Sentinel
2, 8, -4, Sky Sentinel
3, 8, -4, Fenthras
4, 8, -4, Fenthras
5, 8, -4, Fenthras
6, 8, -4, Fenthras
7, 8, -4, Fenthras
8, 8, -4, Fenthras
1, 8, -3, Sky Sentinel
2, 8, -3, Sky Sentinel
3, 8, -3, Fenthras
4, 8, -3, Fenthras
5, 8, -3, Fenthras
6, 8, -3, Fenthras
7, 8, -3, Fenthras
8, 8, -3, Fenthras
1, 8, -2, Sky Sentinel
2, 8, -2, Sky Sentinel
3, 8, -2, Fenthras
4, 8, -2, Fenthras
5, 8, -2, Fenthras
6, 8, -2, Fenthras
7, 8, -2, Fenthras
8, 8, -2, Fenthras
1, 8, -1, Sky Sentinel
2, 8, -1, Sky Sentinel
3, 8, -1, Fenthras
4, 8, -1, Fenthras
5, 8, -1, Fenthras
6, 8, -1, Fenthras
7, 8, -1, Fenthras
8, 8, -1, Fenthras
1, 8, 0, Sky Sentinel
2, 8, 0, Sky Sentinel
3, 8, 0, Fenthras
4, 8, 0, Fenthras
5, 8, 0, Fenthras
6, 8, 0, Fenthras
7, 8, 0, Fenthras
8, 8, 0, Fenthras
1, 8, 1, Sky Sentinel
2, 8, 1, Sky Sentinel
3, 8, 1, Fenthras
4, 8, 1, Fenthras
5, 8, 1, Fenthras
6, 8, 1, Fenthras
7, 8, 1, Fenthras
8, 8, 1, Fenthras
1, 8, 2, Sky Sentinel
2, 8, 2, Sky Sentinel
3, 8, 2, Fenthras
4, 8, 2, Fenthras
5, 8, 2, Fenthras
6, 8, 2, Fenthras
7, 8, 2, Fenthras
8, 8, 2, Fenthras
1, 8, 3, Sky Sentinel
2, 8, 3, Sky Sentinel
3, 8, 3, Fenthras
4, 8, 3, Fenthras
5, 8, 3, Fenthras
6, 8, 3, Fenthras
7, 8, 3, Fenthras
8, 8, 3, Fenthras
1, 8, 4, Sky Sentinel
2, 8, 4, Sky Sentinel
3, 8, 4, Fenthras
4, 8, 4, Fenthras
5, 8, 4, Fenthras
6, 8, 4, Fenthras
7, 8, 4, Fenthras
8, 8, 4, Fenthras
1, 8, 5, Sky Sentinel
2, 8, 5, Sky Sentinel
3, 8, 5, Fenthras
4, 8, 5, Fenthras
5, 8, 5, Fenthras
6, 8, 5, Fenthras
7, 8, 5, Fenthras
8, 8, 5, Fenthras
1, 8, 6, Sky Sentinel
2, 8, 6, Sky Sentinel
3, 8, 6, Fenthras
4, 8, 6, Fenthras
5, 8, 6, Fenthras
6, 8, 6, Fenthras
7, 8, 6, Fenthras
8, 8, 6, Fenthras
1, 8, 7, Sky Sentinel
2, 8, 7, Sky Sentinel
3, 8, 7, Fenthras
4, 8, 7, Fenthras
5, 8, 7, Fenthras
6, 8, 7, Fenthras
7, 8, 7, Fenthras
8, 8, 7, Fenthras
1, 8, 8, Sky Sentinel
2, 8, 8, Sky Sentinel
3, 8, 8, Fenthras
4, 8, 8, Fenthras
5, 8, 8, Fenthras
6, 8, 8, Fenthras
7, 8, 8, Fenthras
8, 8, 8, Fenthras
1, 8, 9, Sky Sentinel
2, 8, 9, Sky Sentinel
3, 8, 9, Fenthras
4, 8, 9, Fenthras
5, 8, 9, Fenthras
6, 8, 9, Fenthras
7, 8, 9, Fenthras
8, 8, 9, Fenthras
1, 8, 10, Sky Sentinel
2, 8, 10, Sky Sentinel
3, 8, 10, Fenthras
4, 8, 10, Fenthras
5, 8, 10, Fenthras
6, 8, 10, Fenthras
7, 8, 10, Fenthras
8, 8, 10, Fenthras
1, 8, 11, Sky Sentinel
2, 8, 11, Sky Sentinel
3, 8, 11, Fenthras
4, 8, 11, Fenthras
5, 8, 11, Fenthras
6, 8, 11, Fenthras
7, 8, 11, Fenthras
8, 8, 11, Fenthras
1, 8, 12, Sky Sentinel
2, 8, 12, Sky Sentinel
3, 8, 12, Fenthras
4, 8, 12, Fenthras
5, 8, 12, Fenthras
6, 8, 12, Fenthras
7, 8, 12, Fenthras
8, 8, 12, Fenthras
1, 8, 13, Sky Sentinel
2, 8, 13, Sky Sentinel
3, 8, 13, Fenthras
4, 8, 13, Fenthras
5, 8, 13, Fenthras
6, 8, 13, Fenthras
7, 8, 13, Fenthras
8, 8, 13, Fenthras
1, 8, 14, Sky Sentinel
2, 8, 14, Sky Sentinel
3, 8, 14, Fenthras
4, 8, 14, Fenthras
5, 8, 14, Fenthras
6, 8, 14, Fenthras
7, 8, 14, Fenthras
8, 8, 14, Fenthras
1, 8, 15, Sky Sentinel
2, 8, 15, Sky Sentinel
3, 8, 15, Fenthras
4, 8, 15, Fenthras
5, 8, 15, Fenthras
6, 8, 15, Fenthras
7, 8, 15, Fenthras
8, 8, 15, Fenthras
1, 8, 16, Sky Sentinel
2, 8, 16, Sky Sentinel
3, 8, 16, Fenthras
4, 8, 16, Fenthras
5, 8, 16, Fenthras
6, 8, 16, Fenthras
7, 8, 16, Fenthras
8, 8, 16, Fenthras
1, 8, 17, Sky Sentinel
2, 8, 17, Sky Sentinel
3, 8, 17, Fenthras
4, 8, 17, Fenthras
5, 8, 17, Fenthras
6, 8, 17, Fenthras
7, 8, 17, Fenthras
8, 8, 17, Fenthras
1, 9, -5, Sky Sentinel
2, 9, -5, Sky Sentinel
3, 9, -5, Fenthras
4, 9, -5, Fenthras
5, 9, -5, Fenthras
6, 9, -5, Fenthras
7, 9, -5, Fenthras
8, 9, -5, Fenthras
1, 9, -4, Sky Sentinel
2, 9, -4, Sky Sentinel
3, 9, -4, Fenthras
4, 9, -4, Fenthras
5, 9, -4, Fenthras
6, 9, -4, Fenthras
7, 9, -4, Fenthras
8, 9, -4, Fenthras
1, 9, -3, Sky Sentinel
2, 9, -3, Sky Sentinel
3, 9, -3, Fenthras
4, 9, -3, Fenthras
5, 9, -3, Fenthras
6, 9, -3, Fenthras
7, 9, -3, Fenthras
8, 9, -3, Fenthras
1, 9, -2, Sky Sentinel
2, 9, -2, Sky Sentinel
3, 9, -2, Fenthras
4, 9, -2, Fenthras
5, 9, -2, Fenthras
6, 9, -2, Fenthras
7, 9, -2, Fenthras
8, 9, -2, Fenthras
1, 9, -1, Sky Sentinel
2, 9, -1, Sky Sentinel
3, 9, -1, Fenthras
4, 9, -1, Fenthras
5, 9, -1, Fenthras
6, 9, -1, Fenthras
7, 9, -1, Fenthras
8, 9, -1, Fenthras
1, 9, 0, Sky Sentinel
2, 9, 0, Sky Sentinel
3, 9, 0, Fenthras
4, 9, 0, Fenthras
5, 9, 0, Fenthras
6, 9, 0, Fenthras
7, 9, 0, Fenthras
8, 9, 0, Fenthras
1, 9, 1, Sky Sentinel
2, 9, 1, Sky Sentinel
3, 9, 1, Fenthras
4, 9, 1, Fenthras
5, 9, 1, Fenthras
6, 9, 1, Fenthras
7, 9, 1, Fenthras
8, 9, 1, Fenthras
1, 9, 2, Sky Sentinel
2, 9, 2, Sky Sentinel
3, 9, 2, Fenthras
4, 9, 2, Fenthras
5, 9, 2, Fenthras
6, 9, 2, Fenthras
7, 9, 2, Fenthras
8, 9, 2, Fenthras
1, 9, 3, Sky Sentinel
2, 9, 3, Sky Sentinel
3, 9, 3, Fenthras
4, 9, 3, Fenthras
5, 9, 3, Fenthras
6, 9, 3, Fenthras
7, 9, 3, Fenthras
8, 9, 3, Fenthras
1, 9, 4, Sky Sentinel
2, 9, 4, Sky Sentinel
3, 9, 4, Fenthras
4, 9, 4, Fenthras
5, 9, 4, Fenthras
6, 9, 4, Fenthras
7, 9, 4, Fenthras
8, 9, 4, Fenthras
1, 9, 5, Sky Sentinel
2, 9, 5, Sky Sentinel
3, 9, 5, Fenthras
4, 9, 5, Fenthras
5, 9, 5, Fenthras
6, 9, 5, Fenthras
7, 9, 5, Fenthras
8, 9, 5, Fenthras
1, 9, 6, Sky Sentinel
2, 9, 6, Sky Sentinel
3, 9, 6, Fenthras
4, 9, 6, Fenthras
5, 9, 6, Fenthras
6, 9, 6, Fenthras
7, 9, 6, Fenthras
8, 9, 6, Fenthras
1, 9, 7, Sky Sentinel
2, 9, 7, Sky Sentinel
3, 9, 7, Fenthras
4, 9, 7, Fenthras
5, 9, 7, Fenthras
6, 9, 7, Fenthras
7, 9, 7, Fenthras
8, 9, 7, Fenthras
1, 9, 8, Sky Sentinel
2, 9, 8, Sky Sentinel
3, 9, 8, Fenthras
4, 9, 8, Fenthras
5, 9, 8, Fenthras
6, 9, 8, Fenthras
7, 9, 8, Fenthras
8, 9, 8, Fenthras
1, 9, 9, Sky Sentinel
2, 9, 9, Sky Sentinel
3, 9, 9, Fenthras
4, 9, 9, Fenthras
5, 9, 9, Fenthras
6, 9, 9, Fenthras
7, 9, 9, Fenthras
8, 9, 9, Fenthras
1, 9, 10, Sky Sentinel
2, 9, 10, Sky Sentinel
3, 9, 10, Fenthras
4, 9, 10, Fenthras
5, 9, 10, Fenthras
6, 9, 10, Fenthras
7, 9, 10, Fenthras
8, 9, 10, Fenthras
1, 9, 11, Sky Sentinel
2, 9, 11, Sky Sentinel
3, 9, 11, Fenthras
4, 9, 11, Fenthras
5, 9, 11, Fenthras
6, 9, 11, Fenthras
7, 9, 11, Fenthras
8, 9, 11, Fenthras
1, 9, 12, Sky Sentinel
2, 9, 12, Sky Sentinel
3, 9, 12, Fenthras
4, 9, 12, Fenthras
5, 9, 12, Fenthras
6, 9, 12, Fenthras
7, 9, 12, Fenthras
8, 9, 12, Fenthras
1, 9, 13, Sky Sentinel
2, 9, 13, Sky Sentinel
3, 9, 13, Fenthras
4, 9, 13, Fenthras
5, 9, 13, Fenthras
6, 9, 13, Fenthras
7, 9, 13, Fenthras
8, 9, 13, Fenthras
1, 9, 14, Sky Sentinel
2, 9, 14, Sky Sentinel
3, 9, 14, Fenthras
4, 9, 14, Fenthras
5, 9, 14, Fenthras
6, 9, 14, Fenthras
7, 9, 14, Fenthras
8, 9, 14, Fenthras
1, 9, 15, Sky Sentinel
2, 9, 15, Sky Sentinel
3, 9, 15, Fenthras
4, 9, 15, Fenthras
5, 9, 15, Fenthras
6, 9, 15, Fenthras
7, 9, 15, Fenthras
8, 9, 15, Fenthras
1, 9, 16, Sky Sentinel
2, 9, 16, Sky Sentinel
3, 9, 16, Fenthras
4, 9, 16, Fenthras
5, 9, 16, Fenthras
6, 9, 16, Fenthras
7, 9, 16, Fenthras
8, 9, 16, Fenthras
1, 9, 17, Sky Sentinel
2, 9, 17, Sky Sentinel
3, 9, 17, Fenthras
4, 9, 17, Fenthras
5, 9, 17, Fenthras
6, 9, 17, Fenthras
7, 9, 17, Fenthras
8, 9, 17, Fenthras
1, 10, -5, Sky Sentinel
2, 10, -5, Sky Sentinel
3, 10, -5, Fenthras
4, 10, -5, Fenthras
5, 10, -5, Fenthras
6, 10, -5, Fenthras
7, 10, -5, Fenthras
8, 10, -5, Fenthras
1, 10, -4, Sky Sentinel
2, 10, -4, Sky Sentinel
3, 10, -4, Fenthras
4, 10, -4, Fenthras
5, 10, -4, Fenthras
6, 10, -4, Fenthras
7, 10, -4, Fenthras
8, 10, -4, Fenthras
1, 10, -3, Sky Sentinel
2, 10, -3, Sky Sentinel
3, 10, -3, Fenthras
4, 10, -3, Fenthras
5, 10, -3, Fenthras
6, 10, -3, Fenthras
7, 10, -3, Fenthras
8, 10, -3, Fenthras
1, 10, -2, Sky Sentinel
2, 10, -2, Sky Sentinel
3, 10, -2, Fenthras
